% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
84 +1.548831296e+01 +1.548831296e+01 -9.761687040e+00 -9.761687040e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
137 +2.801912960e+00 +2.801912960e+00 -2.244808704e+01 -2.244808704e+01 +3.0000e+00 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (2.230000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.231422682e+03 +1.231422682e+03 +1.233652682e+03 +1.233652682e+03 +1.3000e+01 +2.5000e+01 +2.0000e+01
2 +5.744578816e+02 +5.744578816e+02 +5.766878816e+02 +5.766878816e+02 +6.0000e+00 +4.0000e+00 +2.3000e+01
6 +1.731410816e+02 +1.731410816e+02 +1.753710816e+02 +1.753710816e+02 +6.0000e+00 +7.0000e+00 +9.0000e+00
7 +2.013788160e+01 +2.013788160e+01 +2.236788160e+01 +2.236788160e+01 +5.0000e+00 +2.0000e+00 +0.0000e+00
27 +6.390681600e+00 +6.390681600e+00 +8.620681600e+00 +8.620681600e+00 +3.0000e+00 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (-1.308000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.161291236e+03 +1.161291236e+03 +1.148211236e+03 +1.148211236e+03 +3.0000e+01 +1.4000e+01 +8.0000e+00
2 +2.053392365e+02 +2.053392365e+02 +1.922592365e+02 +1.922592365e+02 +8.0000e+00 +1.0000e+01 +2.0000e+00
24 +1.487168365e+02 +1.487168365e+02 +1.356368365e+02 +1.356368365e+02 +4.0000e+00 +3.0000e+00 +1.4000e+01
44 +8.387523648e+01 +8.387523648e+01 +7.079523648e+01 +7.079523648e+01 +2.0000e+00 +1.0000e+00 +1.2000e+01
62 +6.212003648e+01 +6.212003648e+01 +4.904003648e+01 +4.904003648e+01 +7.0000e+00 +0.0000e+00 +0.0000e+00
74 +3.392323648e+01 +3.392323648e+01 +2.084323648e+01 +2.084323648e+01 +0.0000e+00 +0.0000e+00 +9.0000e+00
84 +2.394403648e+01 +2.394403648e+01 +1.086403648e+01 +1.086403648e+01 +0.0000e+00 +0.0000e+00 +8.0000e+00
104 +9.985636480e+00 +9.985636480e+00 -3.094363520e+00 -3.094363520e+00 +0.0000e+00 +0.0000e+00 +6.0000e+00
114 +6.006436480e+00 +6.006436480e+00 -7.073563520e+00 -7.073563520e+00 +0.0000e+00 +0.0000e+00 +5.0000e+00
% function evaluation | noise-free fitness - Fopt (2.671600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.511440538e+02 +6.511440538e+02 +9.183040538e+02 +9.183040538e+02 +1.8000e+01 +2.0000e+00 +1.0000e+01
2 +4.422160538e+02 +4.422160538e+02 +7.093760538e+02 +7.093760538e+02 +6.0000e+00 +1.0000e+00 +1.5000e+01
12 +3.882240538e+02 +3.882240538e+02 +6.553840538e+02 +6.553840538e+02 +0.0000e+00 +5.0000e+00 +1.4000e+01
42 +2.467808538e+02 +2.467808538e+02 +5.139408538e+02 +5.139408538e+02 +2.0000e+00 +0.0000e+00 +1.1000e+01
71 +1.338704538e+02 +1.338704538e+02 +4.010304538e+02 +4.010304538e+02 +4.0000e+00 +3.0000e+00 +3.0000e+00
81 +9.822085376e+01 +9.822085376e+01 +3.653808538e+02 +3.653808538e+02 +2.0000e+00 +3.0000e+00 +2.0000e+00
101 +4.209285376e+01 +4.209285376e+01 +3.092528538e+02 +3.092528538e+02 +0.0000e+00 +1.0000e+00 +0.0000e+00
111 +3.381925376e+01 +3.381925376e+01 +3.009792538e+02 +3.009792538e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.082706163e+02 +7.082706163e+02 +7.119806163e+02 +7.119806163e+02 +2.0000e+01 +1.8000e+01 +2.0000e+00
7 +3.084178163e+02 +3.084178163e+02 +3.121278163e+02 +3.121278163e+02 +1.0000e+00 +8.0000e+00 +1.4000e+01
17 +1.678354163e+02 +1.678354163e+02 +1.715454163e+02 +1.715454163e+02 +7.0000e+00 +0.0000e+00 +1.3000e+01
27 +1.394322163e+02 +1.394322163e+02 +1.431422163e+02 +1.431422163e+02 +6.0000e+00 +0.0000e+00 +1.2000e+01
47 +9.462581632e+01 +9.462581632e+01 +9.833581632e+01 +9.833581632e+01 +4.0000e+00 +0.0000e+00 +1.0000e+01
77 +5.741621632e+01 +5.741621632e+01 +6.112621632e+01 +6.112621632e+01 +1.0000e+00 +0.0000e+00 +7.0000e+00
107 +3.629301632e+01 +3.629301632e+01 +4.000301632e+01 +4.000301632e+01 +0.0000e+00 +0.0000e+00 +4.0000e+00
178 +2.190741632e+01 +2.190741632e+01 +2.561741632e+01 +2.561741632e+01 +6.0000e+00 +1.0000e+00 +1.0000e+00
188 +1.206901632e+01 +1.206901632e+01 +1.577901632e+01 +1.577901632e+01 +5.0000e+00 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (9.478000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.004784198e+02 +8.004784198e+02 +8.952584198e+02 +8.952584198e+02 +3.0000e+00 +2.5000e+01 +2.0000e+00
2 +1.780720198e+02 +1.780720198e+02 +2.728520198e+02 +2.728520198e+02 +5.0000e+00 +8.0000e+00 +1.0000e+01
10 +3.498081984e+01 +3.498081984e+01 +1.297608198e+02 +1.297608198e+02 +5.0000e+00 +1.0000e+00 +5.0000e+00
20 +1.935201984e+01 +1.935201984e+01 +1.141320198e+02 +1.141320198e+02 +4.0000e+00 +0.0000e+00 +4.0000e+00
30 +1.502881984e+01 +1.502881984e+01 +1.098088198e+02 +1.098088198e+02 +3.0000e+00 +0.0000e+00 +3.0000e+00
% function evaluation | noise-free fitness - Fopt (2.339200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.549014534e+02 +5.549014534e+02 +7.888214534e+02 +7.888214534e+02 +4.0000e+00 +1.4000e+01 +1.5000e+01
12 +3.796342534e+02 +3.796342534e+02 +6.135542534e+02 +6.135542534e+02 +1.0000e+01 +3.0000e+00 +1.1000e+01
32 +2.159398534e+02 +2.159398534e+02 +4.498598534e+02 +4.498598534e+02 +1.0000e+00 +8.0000e+00 +9.0000e+00
