% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
149 +1.443832883e+02 +1.443832883e+02 -1.027267117e+02 -1.027267117e+02 +0.0000e+00 +0.0000e+00 +8.0000e+00 +3.0000e+00 +0.0000e+00
169 +9.085368832e+01 +9.085368832e+01 -1.562563117e+02 -1.562563117e+02 +0.0000e+00 +0.0000e+00 +6.0000e+00 +1.0000e+00 +0.0000e+00
189 +5.970648832e+01 +5.970648832e+01 -1.874035117e+02 -1.874035117e+02 +0.0000e+00 +0.0000e+00 +4.0000e+00 +0.0000e+00 +0.0000e+00
223 +3.817688832e+01 +3.817688832e+01 -2.089331117e+02 -2.089331117e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.238387846e+03 +2.238387846e+03 +2.086347846e+03 +2.086347846e+03 +2.9000e+01 +2.0000e+01 +1.6000e+01 +1.8000e+01 +2.3000e+01
2 +1.295850246e+03 +1.295850246e+03 +1.143810246e+03 +1.143810246e+03 +8.0000e+00 +1.4000e+01 +1.2000e+01 +1.6000e+01 +2.8000e+01
3 +6.775830458e+02 +6.775830458e+02 +5.255430458e+02 +5.255430458e+02 +1.1000e+01 +3.0000e+00 +7.0000e+00 +2.4000e+01 +2.0000e+00
13 +5.944790458e+02 +5.944790458e+02 +4.424390458e+02 +4.424390458e+02 +1.0000e+01 +2.0000e+00 +6.0000e+00 +2.3000e+01 +1.0000e+00
43 +3.876422458e+02 +3.876422458e+02 +2.356022458e+02 +2.356022458e+02 +7.0000e+00 +0.0000e+00 +3.0000e+00 +2.0000e+01 +0.0000e+00
73 +2.292710458e+02 +2.292710458e+02 +7.723104576e+01 +7.723104576e+01 +4.0000e+00 +0.0000e+00 +0.0000e+00 +1.7000e+01 +0.0000e+00
103 +1.394486458e+02 +1.394486458e+02 -1.259135424e+01 -1.259135424e+01 +1.0000e+00 +0.0000e+00 +0.0000e+00 +1.4000e+01 +0.0000e+00
123 +9.910144576e+01 +9.910144576e+01 -5.293855424e+01 -5.293855424e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.2000e+01 +0.0000e+00
153 +5.588224576e+01 +5.588224576e+01 -9.615775424e+01 -9.615775424e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +9.0000e+00 +0.0000e+00
173 +3.706944576e+01 +3.706944576e+01 -1.149705542e+02 -1.149705542e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +7.0000e+00 +0.0000e+00
203 +2.385024576e+01 +2.385024576e+01 -1.281897542e+02 -1.281897542e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +4.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (-2.525000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.541463751e+03 +1.541463751e+03 +1.516213751e+03 +1.516213751e+03 +1.1000e+01 +2.4000e+01 +1.0000e+01 +1.2000e+01 +2.8000e+01
3 +6.493133510e+02 +6.493133510e+02 +6.240633510e+02 +6.240633510e+02 +7.0000e+00 +2.0000e+01 +1.3000e+01 +1.0000e+00 +1.0000e+01
13 +5.602573510e+02 +5.602573510e+02 +5.350073510e+02 +5.350073510e+02 +6.0000e+00 +1.9000e+01 +1.2000e+01 +0.0000e+00 +9.0000e+00
43 +3.570061510e+02 +3.570061510e+02 +3.317561510e+02 +3.317561510e+02 +3.0000e+00 +1.6000e+01 +9.0000e+00 +0.0000e+00 +6.0000e+00
73 +2.257549510e+02 +2.257549510e+02 +2.005049510e+02 +2.005049510e+02 +0.0000e+00 +1.3000e+01 +6.0000e+00 +0.0000e+00 +3.0000e+00
96 +1.320557510e+02 +1.320557510e+02 +1.068057510e+02 +1.068057510e+02 +1.1000e+01 +2.0000e+00 +7.0000e+00 +0.0000e+00 +3.0000e+00
116 +8.055495104e+01 +8.055495104e+01 +5.530495104e+01 +5.530495104e+01 +9.0000e+00 +0.0000e+00 +5.0000e+00 +0.0000e+00 +1.0000e+00
136 +4.691975104e+01 +4.691975104e+01 +2.166975104e+01 +2.166975104e+01 +7.0000e+00 +0.0000e+00 +3.0000e+00 +0.0000e+00 +0.0000e+00
146 +3.330535104e+01 +3.330535104e+01 +8.055351040e+00 +8.055351040e+00 +6.0000e+00 +0.0000e+00 +2.0000e+00 +0.0000e+00 +0.0000e+00
156 +2.369095104e+01 +2.369095104e+01 -1.559048960e+00 -1.559048960e+00 +5.0000e+00 +0.0000e+00 +1.0000e+00 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (2.230000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.844246016e+02 +8.844246016e+02 +8.866546016e+02 +8.866546016e+02 +1.8000e+01 +3.0000e+00 +1.0000e+00 +2.0000e+00 +2.9000e+01
6 +4.649206016e+02 +4.649206016e+02 +4.671506016e+02 +4.671506016e+02 +7.0000e+00 +5.0000e+00 +9.0000e+00 +1.4000e+01 +1.2000e+01
16 +3.826886016e+02 +3.826886016e+02 +3.849186016e+02 +3.849186016e+02 +6.0000e+00 +4.0000e+00 +8.0000e+00 +1.3000e+01 +1.1000e+01
