% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3 +3.345508428e+03 +3.345508428e+03 +3.320258428e+03 +3.320258428e+03 +1.6000e+01 +1.4000e+01 +1.0000e+00 +1.1000e+01 +2.1000e+01 +2.4000e+01 +1.0000e+01 +1.0000e+00 +2.4000e+01 +4.0000e+00 +2.1000e+01 +2.0000e+00 +0.0000e+00 +1.0000e+01 +0.0000e+00 +9.0000e+00 +4.0000e+00 +2.0000e+00 +2.6000e+01 +1.0000e+00
271 +2.429799628e+03 +2.429799628e+03 +2.404549628e+03 +2.404549628e+03 +0.0000e+00 +7.0000e+00 +7.0000e+00 +2.6000e+01 +2.4000e+01 +3.0000e+00 +1.1000e+01 +2.0000e+00 +4.0000e+00 +2.0000e+00 +1.0000e+00 +1.0000e+01 +0.0000e+00 +1.9000e+01 +3.0000e+00 +1.0000e+00 +2.0000e+00 +1.2000e+01 +1.1000e+01 +9.0000e+00
% function evaluation | noise-free fitness - Fopt (2.230000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.621076983e+03 +5.621076983e+03 +5.623306983e+03 +5.623306983e+03 +1.4000e+01 +2.7000e+01 +2.6000e+01 +1.6000e+01 +6.0000e+00 +1.6000e+01 +5.0000e+00 +2.9000e+01 +1.1000e+01 +2.8000e+01 +3.0000e+00 +2.0000e+00 +1.1000e+01 +1.6000e+01 +6.0000e+00 +1.0000e+00 +2.1000e+01 +0.0000e+00 +1.5000e+01 +2.1000e+01
21 +3.332598583e+03 +3.332598583e+03 +3.334828583e+03 +3.334828583e+03 +1.5000e+01 +1.6000e+01 +9.0000e+00 +4.0000e+00 +1.0000e+00 +0.0000e+00 +9.0000e+00 +0.0000e+00 +1.4000e+01 +1.2000e+01 +7.0000e+00 +0.0000e+00 +4.0000e+00 +1.1000e+01 +2.8000e+01 +1.0000e+01 +1.0000e+00 +2.1000e+01 +1.1000e+01 +2.4000e+01
518 +2.025560183e+03 +2.025560183e+03 +2.027790183e+03 +2.027790183e+03 +2.1000e+01 +4.0000e+00 +4.0000e+00 +1.0000e+01 +3.0000e+00 +1.3000e+01 +1.9000e+01 +4.0000e+00 +0.0000e+00 +5.0000e+00 +6.0000e+00 +4.0000e+00 +5.0000e+00 +6.0000e+00 +1.3000e+01 +9.0000e+00 +6.0000e+00 +1.5000e+01 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (-1.308000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.293611347e+03 +3.293611347e+03 +3.280531347e+03 +3.280531347e+03 +5.0000e+00 +8.0000e+00 +5.0000e+00 +2.0000e+00 +1.5000e+01 +5.0000e+00 +0.0000e+00 +2.0000e+00 +1.6000e+01 +1.0000e+00 +2.1000e+01 +0.0000e+00 +1.0000e+01 +2.8000e+01 +2.9000e+01 +2.0000e+00 +4.0000e+00 +9.0000e+00 +4.0000e+00 +2.4000e+01
323 +2.382390547e+03 +2.382390547e+03 +2.369310547e+03 +2.369310547e+03 +1.6000e+01 +1.0000e+00 +1.6000e+01 +6.0000e+00 +1.1000e+01 +2.0000e+01 +4.0000e+00 +1.1000e+01 +0.0000e+00 +5.0000e+00 +2.3000e+01 +5.0000e+00 +4.0000e+00 +0.0000e+00 +2.2000e+01 +0.0000e+00 +6.0000e+00 +1.0000e+00 +2.0000e+00 +1.0000e+01
% function evaluation | noise-free fitness - Fopt (2.671600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.084923384e+03 +6.084923384e+03 +6.352083384e+03 +6.352083384e+03 +2.2000e+01 +1.2000e+01 +2.0000e+00 +4.0000e+00 +2.2000e+01 +2.6000e+01 +0.0000e+00 +1.0000e+00 +1.0000e+01 +1.4000e+01 +2.9000e+01 +1.3000e+01 +2.7000e+01 +1.8000e+01 +1.0000e+01 +8.0000e+00 +2.2000e+01 +3.0000e+00 +1.1000e+01 +2.2000e+01
14 +3.599670584e+03 +3.599670584e+03 +3.866830584e+03 +3.866830584e+03 +5.0000e+00 +2.0000e+00 +8.0000e+00 +4.0000e+00 +2.8000e+01 +1.0000e+01 +7.0000e+00 +0.0000e+00 +1.6000e+01 +2.7000e+01 +0.0000e+00 +0.0000e+00 +1.1000e+01 +2.0000e+00 +1.8000e+01 +1.8000e+01 +1.9000e+01 +9.0000e+00 +1.5000e+01 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
