% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
84 +1.337194451e+03 +1.337194451e+03 +1.324114451e+03 +1.324114451e+03
90 +9.657976512e+02 +9.657976512e+02 +9.527176512e+02 +9.527176512e+02
99 +4.473768512e+02 +4.473768512e+02 +4.342968512e+02 +4.342968512e+02
102 +1.912600512e+02 +1.912600512e+02 +1.781800512e+02 +1.781800512e+02
% function evaluation | noise-free fitness - Fopt (2.671600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.137084438e+03 +9.137084438e+03 +9.404244438e+03 +9.404244438e+03
25 +1.396412438e+03 +1.396412438e+03 +1.663572438e+03 +1.663572438e+03
31 +4.827628378e+02 +4.827628378e+02 +7.499228378e+02 +7.499228378e+02
37 +2.864524378e+02 +2.864524378e+02 +5.536124378e+02 +5.536124378e+02
43 +2.419276378e+02 +2.419276378e+02 +5.090876378e+02 +5.090876378e+02
% function evaluation | noise-free fitness - Fopt (3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.512339665e+04 +1.512339665e+04 +1.512710665e+04 +1.512710665e+04
24 +9.245171050e+03 +9.245171050e+03 +9.248881050e+03 +9.248881050e+03
31 +6.069990250e+03 +6.069990250e+03 +6.073700250e+03 +6.073700250e+03
49 +2.763782250e+03 +2.763782250e+03 +2.767492250e+03 +2.767492250e+03
55 +2.380787050e+03 +2.380787050e+03 +2.384497050e+03 +2.384497050e+03
67 +8.522990502e+02 +8.522990502e+02 +8.560090502e+02 +8.560090502e+02
73 +5.834510502e+02 +5.834510502e+02 +5.871610502e+02 +5.871610502e+02
85 +3.422590502e+02 +3.422590502e+02 +3.459690502e+02 +3.459690502e+02
97 +2.379422502e+02 +2.379422502e+02 +2.416522502e+02 +2.416522502e+02
% function evaluation | noise-free fitness - Fopt (9.478000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.419744708e+04 +1.419744708e+04 +1.429222708e+04 +1.429222708e+04
4 +8.123063079e+03 +8.123063079e+03 +8.217843079e+03 +8.217843079e+03
10 +4.562552679e+03 +4.562552679e+03 +4.657332679e+03 +4.657332679e+03
44 +2.808589479e+03 +2.808589479e+03 +2.903369479e+03 +2.903369479e+03
50 +2.042722279e+03 +2.042722279e+03 +2.137502279e+03 +2.137502279e+03
56 +1.146743079e+03 +1.146743079e+03 +1.241523079e+03 +1.241523079e+03
68 +7.152758790e+02 +7.152758790e+02 +8.100558790e+02 +8.100558790e+02
74 +3.430646790e+02 +3.430646790e+02 +4.378446790e+02 +4.378446790e+02
80 +2.312998790e+02 +2.312998790e+02 +3.260798790e+02 +3.260798790e+02
