% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (9.478000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.084029252e+26 +3.084029252e+26 +3.084029252e+26 +3.084029252e+26
3 +5.159250565e+25 +5.159250565e+25 +5.159250565e+25 +5.159250565e+25
7 +2.841702696e+25 +2.841702696e+25 +2.841702696e+25 +2.841702696e+25
11 +1.534709932e+24 +1.534709932e+24 +1.534709932e+24 +1.534709932e+24
27 +3.327234314e+22 +3.327234314e+22 +3.327234314e+22 +3.327234314e+22
% function evaluation | noise-free fitness - Fopt (2.339200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.283482149e+25 +1.283482149e+25 +1.283482149e+25 +1.283482149e+25
11 +5.489251873e+24 +5.489251873e+24 +5.489251873e+24 +5.489251873e+24
26 +5.839146390e+23 +5.839146390e+23 +5.839146390e+23 +5.839146390e+23
111 +1.563103971e+23 +1.563103971e+23 +1.563103971e+23 +1.563103971e+23
298 +4.255785756e+22 +4.255785756e+22 +4.255785756e+22 +4.255785756e+22
369 +4.563218867e+20 +4.563218867e+20 +4.563218867e+20 +4.563218867e+20
% function evaluation | noise-free fitness - Fopt (-6.092000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.464373273e+26 +3.464373273e+26 +3.464373273e+26 +3.464373273e+26
2 +9.629402570e+25 +9.629402570e+25 +9.629402570e+25 +9.629402570e+25
3 +1.254710510e+25 +1.254710510e+25 +1.254710510e+25 +1.254710510e+25
25 +1.922271035e+23 +1.922271035e+23 +1.922271035e+23 +1.922271035e+23
71 +6.408233068e+22 +6.408233068e+22 +6.408233068e+22 +6.408233068e+22
% function evaluation | noise-free fitness - Fopt (-1.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.885819822e+26 +9.885819822e+26 +9.885819822e+26 +9.885819822e+26
3 +2.976893159e+26 +2.976893159e+26 +2.976893159e+26 +2.976893159e+26
4 +1.715960237e+26 +1.715960237e+26 +1.715960237e+26 +1.715960237e+26
7 +2.587181403e+25 +2.587181403e+25 +2.587181403e+25 +2.587181403e+25
29 +1.439154176e+24 +1.439154176e+24 +1.439154176e+24 +1.439154176e+24
48 +9.772381718e+23 +9.772381718e+23 +9.772381718e+23 +9.772381718e+23
49 +2.928571654e+21 +2.928571654e+21 +2.928571654e+21 +2.928571654e+21
% function evaluation | noise-free fitness - Fopt (1.344700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.016280819e+27 +1.016280819e+27 +1.016280819e+27 +1.016280819e+27
2 +6.245688034e+26 +6.245688034e+26 +6.245688034e+26 +6.245688034e+26
4 +1.562816154e+26 +1.562816154e+26 +1.562816154e+26 +1.562816154e+26
5 +4.420214150e+25 +4.420214150e+25 +4.420214150e+25 +4.420214150e+25
7 +1.346635971e+24 +1.346635971e+24 +1.346635971e+24 +1.346635971e+24
158 +3.062503374e+23 +3.062503374e+23 +3.062503374e+23 +3.062503374e+23
188 +1.241997682e+23 +1.241997682e+23 +1.241997682e+23 +1.241997682e+23
% function evaluation | noise-free fitness - Fopt (4.453500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.051325432e+25 +8.051325432e+25 +8.051325432e+25 +8.051325432e+25
4 +5.574516601e+25 +5.574516601e+25 +5.574516601e+25 +5.574516601e+25
9 +2.054322766e+25 +2.054322766e+25 +2.054322766e+25 +2.054322766e+25
18 +1.207151080e+25 +1.207151080e+25 +1.207151080e+25 +1.207151080e+25
24 +8.399671245e+24 +8.399671245e+24 +8.399671245e+24 +8.399671245e+24
51 +6.256816112e+24 +6.256816112e+24 +6.256816112e+24 +6.256816112e+24
87 +5.837657935e+19 +5.837657935e+19 +5.837657935e+19 +5.837657935e+19
